return-date,sku,quantity,fulfillment-center-id,detailed-disposition,reason,status,customer-comments
2019-02-28T18:44:29+00:00,HM0701-R-41,1,SDF8,SELLABLE,MISORDERED,Unit returned to inventory,
2019-02-28T11:22:51+00:00,HM0738-H-39,1,SDF9,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,
2019-02-28T08:22:01+00:00,HM0722-B-37,1,SDF9,DAMAGED,SWITCHEROO,Reimbursed,
2019-02-28T06:59:07+00:00,HM0729-M-38,1,LAS2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-28T05:44:39+00:00,HM0701-H-41,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,way to small
2019-02-28T05:28:07+00:00,HM0722-H-40,1,SDF9,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,
2019-02-28T03:54:29+00:00,HM0724-M-40,1,SDF9,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,
2019-02-28T03:54:29+00:00,HM0731-Z-40,1,SDF9,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,
2019-02-28T01:20:17+00:00,HM0731-Y-41,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-28T01:18:34+00:00,HM0731-Y-41,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-27T19:38:30+00:00,HM0709-1241,1,SDF9,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,
2019-02-27T19:38:30+00:00,HM0709-1241,1,SDF9,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,
2019-02-27T16:54:05+00:00,HM0722-X-35,1,MIA7,SELLABLE,APPAREL_TOO_SMALL,Reimbursed,
2019-02-27T12:47:19+00:00,HM0725-2539,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-26T20:18:12+00:00,HM0722-B-40,1,SDF9,SELLABLE,NOT_AS_DESCRIBED,Unit returned to inventory,Shape is not as expected
2019-02-26T03:51:53+00:00,HM0701-H-42,1,LAS2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-26T03:51:53+00:00,HM0738-141,1,LAS2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-25T03:35:23+00:00,HM0747-0138,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-24T19:36:03+00:00,HM0722-C-40,1,LAS2,SELLABLE,APPAREL_STYLE,Unit returned to inventory,don't like color
2019-02-24T17:43:41+00:00,HM0719-1041,1,MIA7,SELLABLE,NOT_COMPATIBLE,Unit returned to inventory,B06X9RPN3S:she no longer need B074M6CYM6:she no longer need B06X9R5PFW:she no longer need
2019-02-24T05:18:18+00:00,HM0719-1241,1,MIA7,SELLABLE,NOT_COMPATIBLE,Unit returned to inventory,B074M6CLVC:she no longer need
2019-02-24T05:18:18+00:00,HM0719-1240,1,MIA7,SELLABLE,NOT_COMPATIBLE,Unit returned to inventory,B06X9RPN3S:she no longer need B074M6CYM6:she no longer need B06X9R5PFW:she no longer need
2019-02-24T05:18:18+00:00,HM0719-1240,1,MIA7,SELLABLE,NOT_COMPATIBLE,Unit returned to inventory,B06X9RPN3S:she no longer need B074M6CYM6:she no longer need B06X9R5PFW:she no longer need
2019-02-24T04:59:21+00:00,HM0719-1039,1,MIA7,SELLABLE,NOT_COMPATIBLE,Unit returned to inventory,B06X9RPN3S:she no longer need B074M6CYM6:she no longer need B06X9R5PFW:she no longer need
2019-02-24T04:59:21+00:00,HM0719-1240,1,MIA7,SELLABLE,NOT_COMPATIBLE,Unit returned to inventory,B06X9RPN3S:she no longer need B074M6CYM6:she no longer need B06X9R5PFW:she no longer need
2019-02-24T04:59:21+00:00,HM0719-1240,1,MIA7,SELLABLE,NOT_COMPATIBLE,Unit returned to inventory,B06X9RPN3S:she no longer need B074M6CYM6:she no longer need B06X9R5PFW:she no longer need
2019-02-24T04:59:21+00:00,HM0719-1240,1,MIA7,SELLABLE,NOT_COMPATIBLE,Unit returned to inventory,B06X9RPN3S:she no longer need B074M6CYM6:she no longer need B06X9R5PFW:she no longer need
2019-02-24T04:59:21+00:00,HM0719-1039,1,MIA7,SELLABLE,NOT_COMPATIBLE,Unit returned to inventory,B06X9RPN3S:she no longer need B074M6CYM6:she no longer need B06X9R5PFW:she no longer need
2019-02-24T04:38:03+00:00,HM0719-1241,1,MIA7,SELLABLE,NOT_COMPATIBLE,Unit returned to inventory,B074M6CLVC:she no longer need
2019-02-24T04:38:03+00:00,HM0719-1241,1,MIA7,SELLABLE,NOT_COMPATIBLE,Unit returned to inventory,B074M6CLVC:she no longer need
2019-02-23T19:50:11+00:00,HM0722-B-39,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-23T17:15:17+00:00,HM0731-Z-39,1,SDF9,SELLABLE,APPAREL_STYLE,Unit returned to inventory,
2019-02-23T17:01:02+00:00,HM0724-F-41,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-23T10:49:22+00:00,HM0737-F-37,1,LAS2,SELLABLE,APPAREL_STYLE,Unit returned to inventory,
