month,sku,average-quantity,end-quantity,fulfillment-center-id,detailed-disposition,country
06/2019,HM0722-M-36,1,1,IND1,SELLABLE,US
06/2019,HM0701-H-39,0.03,0,MDW4,SELLABLE,US
06/2019,HM0701-1237,0.83,0,IND4,SELLABLE,US
06/2019,HM0709-1938,0.27,1,CHA1,SELLABLE,US
06/2019,HM0747-0138,0.4,0,EWR4,SELLABLE,US
06/2019,HM0739-241,0.2,1,ACY1,SELLABLE,US
06/2019,HM0739-235,12,18,MDT2,SELLABLE,US
06/2019,HM0729-L-39,3.27,0,IND4,SELLABLE,US
06/2019,HM0719-1239,17.17,9,MDT2,SELLABLE,US
06/2019,HM0719-1239,0.53,0,SDF9,SELLABLE,US
06/2019,CAHM0742-2237,0.03,1,JFK8,SELLABLE,US
06/2019,HM0741-0241,3.4,12,MDT2,SELLABLE,US
06/2019,HM0701-B-39,0.07,0,ABE2,SELLABLE,US
06/2019,HM0719-1039,15.67,15,MDT2,SELLABLE,US
06/2019,HM0701-X-41,0.17,1,ACY1,SELLABLE,US
06/2019,HM0706-M-40,0.1,0,BNA3,SELLABLE,US
06/2019,HM0701-X-37,0.83,4,MDT2,SELLABLE,US
06/2019,HM0747-0138,15.3,12,MDT2,SELLABLE,US
06/2019,HM0505-1737/38,0.73,1,SDF8,SELLABLE,US
06/2019,HM0722-B-39,0.03,0,LEX2,SELLABLE,US
06/2019,HM0801-743,10.33,10,MDT2,SELLABLE,US
06/2019,HM0714-240,7.53,11,MDT2,SELLABLE,US
06/2019,HM0731-H-39,0.1,0,DCA1,SELLABLE,US
06/2019,HM0725-2738,0.53,1,DCA1,SELLABLE,US
06/2019,HM0729-L-39,0.03,0,SDF8,SELLABLE,US
06/2019,HM0751-240,1.77,0,MDT2,SELLABLE,US
06/2019,HM0801-B-40,0.53,0,BNA3,SELLABLE,US
06/2019,HM0701-X-38,0.13,0,*XFR,SELLABLE,
06/2019,HM0741-1640,3.93,12,MDT2,SELLABLE,US
06/2019,HM0748-1738,6.1,16,MDT2,SELLABLE,US
06/2019,HM0733-1738,3.57,5,MDT2,SELLABLE,US
06/2019,HM0738-Z-37,3.9,3,MDT2,SELLABLE,US
06/2019,HM0701-R-37,7.93,4,IND4,SELLABLE,US
06/2019,HM0724-F-40,0.27,0,MDT2,SELLABLE,US
06/2019,HM0715-1641,3.83,5,MDT2,SELLABLE,US
06/2019,HM0722-M-40,0.17,0,*XFR,SELLABLE,
06/2019,HM0701-X-42,0.03,0,*XFR,SELLABLE,
06/2019,HM0722-X-40,0.07,0,*XFR,SELLABLE,
06/2019,HM0701-B-40,0.07,0,MIA7,SELLABLE,US
06/2019,HM0707-840,3.7,0,BNA3,SELLABLE,US
06/2019,HM0701-1138,1.4,6,MDT2,SELLABLE,US
06/2019,HM0903-1630,0.03,0,LAS2,SELLABLE,US
06/2019,HM0747-0138,0.1,0,ABE2,SELLABLE,US
06/2019,HM0701-X-42,0.03,0,ACY1,SELLABLE,US
06/2019,HM0803-3243,2.77,11,MDT2,SELLABLE,US
06/2019,HM0724-F-37,0.07,0,LAS2,SELLABLE,US
06/2019,HM0701-X-41,27.6,20,MDT2,SELLABLE,US
06/2019,HM0701-H-41,0.03,1,JFK8,SELLABLE,US
06/2019,HM0729-M-38,0.77,0,ONT2,SELLABLE,US
06/2019,HM0903-1634,0.03,0,LEX2,SELLABLE,US
06/2019,HM0731-Z-42,10.4,43,MDT2,SELLABLE,US
06/2019,HM0751-241,1.83,6,MDT2,SELLABLE,US
06/2019,HM0731-H-38,0.17,0,SDF9,CUSTOMER_DAMAGED,US
06/2019,HM0722-H-40,0.03,0,EWR4,SELLABLE,US
06/2019,HM0738-L-35,4,4,BNA3,SELLABLE,US
06/2019,HM0701-1240,0.03,0,ABE2,SELLABLE,US
06/2019,HM0701-H-36,0.13,1,SDF9,SELLABLE,US
06/2019,HM0722-B-35,0.03,1,*XFR,SELLABLE,
06/2019,HM0722-M-39,0.13,0,ABE2,SELLABLE,US
06/2019,HM0739-138,5.67,5,MDT2,SELLABLE,US
06/2019,HM0738-Z-37,0.1,0,*XFR,SELLABLE,
06/2019,HM0733-1739,0.1,0,*XFR,SELLABLE,
06/2019,HM0701-2135,3.83,3,BNA3,SELLABLE,US
06/2019,HM0722-L-39,0.03,0,IND1,SELLABLE,US
06/2019,HM0701-B-40,0.5,0,SDF9,CUSTOMER_DAMAGED,US
06/2019,HM0701-2138,0.03,0,*XFR,SELLABLE,
06/2019,HM0706-L-38,3.73,2,MDT2,SELLABLE,US
06/2019,HM0505-2041/42,2,2,MDT2,SELLABLE,US
06/2019,HM0722-X-38,12.13,20,MDT2,SELLABLE,US
06/2019,HM0701-H-40,0.1,0,SDF9,SELLABLE,US
06/2019,HM0737-Z-40,14.87,19,MDT2,SELLABLE,US
06/2019,HM0724-F-36,0.03,0,*XFR,SELLABLE,
06/2019,HM0701-H-39,10.13,35,MDT2,SELLABLE,US
06/2019,HM0731-H-38,0.17,1,PHX3,SELLABLE,US
06/2019,HM0713-740,0.43,0,SDF9,SELLABLE,US
06/2019,HM0747-0140,0.4,0,ACY1,SELLABLE,US
06/2019,HM0803-3244,3.33,3,MDT2,SELLABLE,US
06/2019,HM0722-X-40,0.03,0,LEX2,SELLABLE,US
06/2019,HM0742-0237,0.33,0,SDF9,SELLABLE,US
06/2019,HM0722-H-38,0.07,0,SDF9,SELLABLE,US
06/2019,HM0731-Y-38,0.1,0,SDF9,SELLABLE,US
06/2019,HM0738-L-38,3,1,MDT2,SELLABLE,US
06/2019,HM0738-L-37,0.17,0,CHA1,SELLABLE,US
06/2019,HM0801-B-44,0.57,0,CMH1,SELLABLE,US
06/2019,HM0741-0239,3.37,8,MDT2,SELLABLE,US
06/2019,HM0725-139,7.23,0,MDT2,SELLABLE,US
06/2019,HM0722-H-37,1.23,3,MDT2,SELLABLE,US
06/2019,HM0731-Z-40,0.07,0,ABE2,SELLABLE,US
06/2019,HM0753-1939,6.27,17,MDT2,SELLABLE,US
06/2019,HM0747-0139,0.3,0,HIO9,SELLABLE,US
06/2019,HM0724-M-37,7.47,6,MDT2,SELLABLE,US
06/2019,HM0753-1936,4.2,6,MDT2,SELLABLE,US
06/2019,HM0733-1739,0.03,0,LAS2,SELLABLE,US
06/2019,HM0717-140,0.13,1,*XFR,SELLABLE,
06/2019,HM0903-1631,0.03,0,PHL7,SELLABLE,US
06/2019,HM0722-C-37,7.1,14,MDT2,SELLABLE,US
06/2019,HM0744-2042,0.1,0,PHX3,SELLABLE,US
06/2019,HM0801-B-45,0.17,0,SDF9,SELLABLE,US
06/2019,HM0801-B-43,4.13,17,MDT2,SELLABLE,US
06/2019,HM0751-237,2.4,12,MDT2,SELLABLE,US
06/2019,HM0731-Y-37,0.1,0,RIC9,SELLABLE,US
06/2019,HM0722-H-37,0.03,0,PHX3,SELLABLE,US
06/2019,HM0724-M-36,5.77,4,MDT2,SELLABLE,US
06/2019,HM0731-Z-36,2.8,12,MDT2,SELLABLE,US
06/2019,HM0903-1630,0.03,0,JFK8,SELLABLE,US
06/2019,HM0753-1938,0.3,1,DCA1,SELLABLE,US
06/2019,HM0742-2238,7.07,4,MDT2,SELLABLE,US
06/2019,HM0738-139,0.03,0,DCA1,SELLABLE,US
06/2019,HM0737-Z-38,0.67,1,PHX3,SELLABLE,US
