sku,fulfilled-by,your-price,sales-price,longest-side,median-side,shortest-side,length-and-girth,unit-of-dimension,item-package-weight,unit-of-weight,product-size-tier,currency,estimated-fee-total,estimated-referral-fee-per-unit,estimated-variable-closing-fee,estimated-order-handling-fee-per-order,estimated-pick-pack-fee-per-unit,estimated-weight-handling-fee-per-unit,expected-fulfillment-fee-per-unit
HM0803-3246,Amazon,15.99,15.99,11,4.3,2.2,24,inches,0.95,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0725-2738,Amazon,16.99,16.99,10.91,4.29,4.02,27.52,inches,1.15,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0902-2134,Amazon,13.99,13.99,10.15,3.95,2.8,23.65,inches,0.73,pounds,Lg-Std-Non-Media,USD,5.38,2.1,0,--,--,--,3.28
HM0747-0136,Amazon,15.99,15.99,10.4,4.9,2.4,25,inches,0.6,pounds,Lg-Std-Non-Media,USD,5.68,2.4,0,--,--,--,3.28
HM0722-C-37,Amazon,15.99,15.99,10.91,4.29,4.02,27.52,inches,1.15,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0753-1936,Amazon,15.99,15.99,10.9,4.4,2.7,25.1,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0701-B-36,Amazon,14.99,14.99,9.6,4.5,2.7,23.99,inches,0.7,pounds,Lg-Std-Non-Media,USD,5.53,2.25,0,--,--,--,3.28
HM0739-240,Amazon,15.99,15.99,11.3,4.3,2.9,25.69,inches,0.96,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0741-0236,Amazon,15.99,15.99,10.9,4.4,2.7,25.1,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0722-M-35,Amazon,15.99,15.99,10.9,4.3,4.1,27.69,inches,1.15,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0713-739,Amazon,15.99,15.99,10.79,4.29,2.91,25.2,inches,0.88,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0707-839,Amazon,13.99,13.99,10.79,4.29,2.8,24.96,inches,0.93,pounds,Lg-Std-Non-Media,USD,6.86,2.1,0,--,--,--,4.76
HM0728-1841,Amazon,9.99,15.99,11.7,4.5,2.8,26.3,inches,1.05,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0731-H-42,Amazon,16.99,16.99,10.87,4.8,2.2,24.87,inches,0.79,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0744-2041,Amazon,14.99,14.99,10.91,4.41,2.91,25.55,inches,1.2,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0801-B-39,Amazon,15.99,15.99,11.6,4.4,2.8,25.99,inches,1,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0701-F-39,Amazon,14.99,14.99,10.91,4.8,2.8,26.1,inches,1.1,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0801-744,Amazon,15.99,15.99,11.61,4.61,2.91,26.65,inches,1.05,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0706-M-38,Amazon,32.99,32.99,10.91,4.29,2.8,25.08,inches,1.1,pounds,Lg-Std-Non-Media,USD,9.71,4.95,0,--,--,--,4.76
HM0751-2239,Amazon,15.99,15.99,10.98,4.41,2.8,25.39,inches,1.25,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0801-2039,Amazon,15.99,15.99,11.6,4.4,2.8,26,inches,1,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0753-935,Amazon,15.99,15.99,10.8,4.3,2.9,25.2,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0731-Y-41,Amazon,16.99,16.99,10.91,4.29,2.8,25.08,inches,0.88,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0701-X-41,Amazon,14.99,14.99,10.98,4.29,2.8,25.16,inches,1.2,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0724-F-42,Amazon,15.99,15.99,11.5,4.5,2.9,26.3,inches,1.05,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0738-136,Amazon,15.99,15.99,10.4,4.9,2.4,24.99,inches,0.6,pounds,Lg-Std-Non-Media,USD,5.68,2.4,0,--,--,--,3.28
HM0729-L-42,Amazon,15.99,14.99,11.9,4.3,2.5,25.5,inches,0.8,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0505-1739/40,Amazon,16.99,16.99,10.9,7.8,2.7,31.9,inches,1.15,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0752-3138,Amazon,15.99,15.99,10.85,4.3,3.05,25.55,inches,0.88,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0737-F-39,Amazon,16.99,16.99,10.91,4.29,4.02,27.52,inches,1.2,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0722-H-39,Amazon,16.99,16.99,10.91,4.29,4.02,27.52,inches,1.2,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0722-M-37,Amazon,15.99,15.99,10.91,4.29,4.02,27.52,inches,1.15,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0801-B-46,Amazon,15.99,15.99,11,4.3,2.2,24,inches,0.95,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0903-1632,Amazon,13.99,13.99,10.25,3.95,2.75,23.65,inches,0.69,pounds,Lg-Std-Non-Media,USD,5.38,2.1,0,--,--,--,3.28
HM0717-140,Amazon,14.99,14.99,10.79,4.29,2.8,24.96,inches,0.97,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0724-F-37,Amazon,15.99,15.99,10.79,4.41,2.8,25.2,inches,0.84,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
